1,1,Princeton University
2,2,Harvard University
3,3,Columbia University
4,3,Massachusetts Institute of Technology
5,3,University of Chicago
6,3,Yale University
7,7,Stanford University
8,8,Duke University
9,8,University of Pennsylvania
10,10,Johns Hopkins University
11,10,Northwestern University
12,12,California Institute of Technology
13,12,Dartmouth College
14,14,Brown University
15,14,Vanderbilt University
16,16,Cornell University
17,16,Rice University
18,18,University of Notre Dame
19,19,University of California--Los Angeles
20,19,Washington University in St. Louis
21,1,Princeton University
22,2,Harvard University
23,3,Columbia University
24,3,Massachusetts Institute of Technology
25,3,University of Chicago
26,3,Yale University
27,7,Stanford University
28,8,Duke University
29,8,University of Pennsylvania
30,10,Johns Hopkins University
31,10,Northwestern University
32,12,California Institute of Technology
33,12,Dartmouth College
34,14,Brown University
35,14,Vanderbilt University
36,16,Cornell University
37,16,Rice University
38,18,University of Notre Dame
39,19,University of California--Los Angeles
40,19,Washington University in St. Louis
41,1,Princeton University
42,2,Harvard University
43,3,Columbia University
44,3,Massachusetts Institute of Technology
45,3,University of Chicago
46,3,Yale University
47,7,Stanford University
48,8,Duke University
49,8,University of Pennsylvania
50,10,Johns Hopkins University
51,10,Northwestern University
52,12,California Institute of Technology
53,12,Dartmouth College
54,14,Brown University
55,14,Vanderbilt University
56,16,Cornell University
57,16,Rice University
58,18,University of Notre Dame
59,19,University of California--Los Angeles
60,19,Washington University in St. Louis
61,1,Princeton University
62,2,Harvard University
63,3,Columbia University
64,3,Massachusetts Institute of Technology
65,3,University of Chicago
66,3,Yale University
67,7,Stanford University
68,8,Duke University
69,8,University of Pennsylvania
70,10,Johns Hopkins University
71,10,Northwestern University
72,12,California Institute of Technology
73,12,Dartmouth College
74,14,Brown University
75,14,Vanderbilt University
76,16,Cornell University
77,16,Rice University
78,18,University of Notre Dame
79,19,University of California--Los Angeles
80,19,Washington University in St. Louis
81,1,Princeton University
82,2,Harvard University
83,3,Columbia University
84,3,Massachusetts Institute of Technology
85,3,University of Chicago
86,3,Yale University
87,7,Stanford University
88,8,Duke University
89,8,University of Pennsylvania
90,10,Johns Hopkins University
91,10,Northwestern University
92,12,California Institute of Technology
93,12,Dartmouth College
94,14,Brown University
95,14,Vanderbilt University
96,16,Cornell University
97,16,Rice University
98,18,University of Notre Dame
99,19,University of California--Los Angeles
100,19,Washington University in St. Louis
101,1,Princeton University
102,2,Harvard University
103,3,Columbia University
104,3,Massachusetts Institute of Technology
105,3,University of Chicago
106,3,Yale University
107,7,Stanford University
108,8,Duke University
109,8,University of Pennsylvania
110,10,Johns Hopkins University
111,10,Northwestern University
112,12,California Institute of Technology
113,12,Dartmouth College
114,14,Brown University
115,14,Vanderbilt University
116,16,Cornell University
117,16,Rice University
118,18,University of Notre Dame
119,19,University of California--Los Angeles
120,19,Washington University in St. Louis
121,1,Princeton University
122,2,Harvard University
123,3,Columbia University
124,3,Massachusetts Institute of Technology
125,3,University of Chicago
126,3,Yale University
127,7,Stanford University
128,8,Duke University
129,8,University of Pennsylvania
130,10,Johns Hopkins University
131,10,Northwestern University
132,12,California Institute of Technology
133,12,Dartmouth College
134,14,Brown University
135,14,Vanderbilt University
136,16,Cornell University
137,16,Rice University
138,18,University of Notre Dame
139,19,University of California--Los Angeles
140,19,Washington University in St. Louis
141,1,Princeton University
142,2,Harvard University
143,3,Columbia University
144,3,Massachusetts Institute of Technology
145,3,University of Chicago
146,3,Yale University
147,7,Stanford University
148,8,Duke University
149,8,University of Pennsylvania
150,10,Johns Hopkins University
151,10,Northwestern University
152,12,California Institute of Technology
153,12,Dartmouth College
154,14,Brown University
155,14,Vanderbilt University
156,16,Cornell University
157,16,Rice University
158,18,University of Notre Dame
159,19,University of California--Los Angeles
160,19,Washington University in St. Louis
161,1,Princeton University
162,2,Harvard University
163,3,Columbia University
164,3,Massachusetts Institute of Technology
165,3,University of Chicago
166,3,Yale University
167,7,Stanford University
168,8,Duke University
169,8,University of Pennsylvania
170,10,Johns Hopkins University
171,10,Northwestern University
172,12,California Institute of Technology
173,12,Dartmouth College
174,14,Brown University
175,14,Vanderbilt University
176,16,Cornell University
177,16,Rice University
178,18,University of Notre Dame
179,19,University of California--Los Angeles
180,19,Washington University in St. Louis
181,1,Princeton University
182,2,Harvard University
183,3,Columbia University
184,3,Massachusetts Institute of Technology
185,3,University of Chicago
186,3,Yale University
187,7,Stanford University
188,8,Duke University
189,8,University of Pennsylvania
190,10,Johns Hopkins University
191,10,Northwestern University
192,12,California Institute of Technology
193,12,Dartmouth College
194,14,Brown University
195,14,Vanderbilt University
196,16,Cornell University
197,16,Rice University
198,18,University of Notre Dame
199,19,University of California--Los Angeles
200,19,Washington University in St. Louis
201,1,Princeton University
202,2,Harvard University
203,3,Columbia University
204,3,Massachusetts Institute of Technology
205,3,University of Chicago
206,3,Yale University
207,7,Stanford University
208,8,Duke University
209,8,University of Pennsylvania
210,10,Johns Hopkins University
211,10,Northwestern University
212,12,California Institute of Technology
213,12,Dartmouth College
214,14,Brown University
215,14,Vanderbilt University
216,16,Cornell University
217,16,Rice University
218,18,University of Notre Dame
219,19,University of California--Los Angeles
220,19,Washington University in St. Louis
